Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8444755657109162,0.7325408618127786,0.5865556216537775,0.6514701024116287
Random Forest,0.8477187292695512,0.7294617563739377,0.6127305175490779,0.6660200452634982
