Group,Count,Selection Rate,True Positive Rate,False Positive Rate,Statistical Parity Difference
Female,4390,0.08337129840546698,0.5294117647058824,0.024742268041237112,-0.18447222344263153
Male,9177,0.2678435218480985,0.6276297335203366,0.10561264822134388,0.0
