Group,Count,Selection Rate,True Positive Rate,False Positive Rate,Statistical Parity Difference
White,11680,0.22268835616438357,0.6171112556929083,0.08180339298164072,0.0
Black,1253,0.08459696727853153,0.5228758169934641,0.023636363636363636,-0.13809138888585204
Amer-Indian-Eskimo,146,0.11643835616438356,0.5714285714285714,0.06818181818181818,-0.10625000000000001
Asian-Pac-Islander,389,0.23136246786632392,0.6320754716981132,0.0812720848056537,0.008674111701940351
Other,99,0.10101010101010101,0.5333333333333333,0.023809523809523808,-0.12167825515428256
